Name,Crime
Sarameyasanam,We ruined life of a family for money and at the end gutted that house
Sarameyasanam,I killed a pregnent women in anger
Lalabhaksam,Last night I tortured my husband while having sex
Lalabhaksam,I tortured my wife while having sex with her
Lalabhaksam,I beat my wife everyday when I am high
Lalabhaksam,I enjoyed in myself when I saw her in pain while having sex
Lalabhaksam,I forcefully make her to lick my genital part
Lalabhaksam,I insisted him to lick my vagina
Lalabhaksam,I put my penis inside her mouth with force to make her taste my semen
Lalabhaksam,I forcefully spit in his mouth while having sex
Lalabhaksam,I like to lick semen of many guys together at the same time
Lalabhaksam,I tortured my wife and kids for money
Lalabhaksam,I mixed my semen in her tea
Pranarodham,I enjoy to torture the stray animals
Pranarodham,I killed a snake for pleasure whereas it was not harming me
Pranarodham,I didn't found chicken in the market so I killed my own hen
Pranarodham,When we were in the forest I killed a deer in confusion
Pranarodham,I tortured that cat which drink milk in my home
Pranarodham,I like to kill animals for fun
Pranarodham,I killed one of a stray dog with my car last night
Pranarodham,I killed one of their dog during my encounter with the police
Pranarodham,"I enjoy beating dogs, cows and each and every animal in front of me"
Pranarodham,I beat a cow when it was excreting
Kalasutram,I left my parents when they needed me. 
Kalasutram,I disrespected my father and his thoughts
Kalasutram,I disrespect my mother and her thoughts.
Kalasutram,"I mock my grandparents, and made fun of them. I mockingly make fun of my grandmother."
Kalasutram,I along with my wife sent my mother and father (parents) to old age home. And I dont take care of my mother and father.
Kalasutram,"My mother needed me when she was ill, and I was out having fun with my friends and girlfriends."
Kalasutram,"My father needed me when he was ill, and I was out having fun with my friends and girlfriends. He called me several times, but I purposefully cut the call everytime."
Kalasutram,"Me and my father had a heated argument, I told him certain things that  I should not have said. I scolded on him, told him to shutup, and should minding his business"
Kalasutram,"Me and my mother had a heated argument, I told her things that I should not have said."
Sucimukham,"Manipulating with financial figures, and stealing money from my company. "
Sucimukham,"I commited forgery in my documents to get a job. I have put fake experiences in my resume, I have attached fake certificates. I am ashamed of what I did."
Sucimukham,"I am a government official, I take money from citizens to do their work, basically I torture them by not doing their work for free. "
Sucimukham,"I trick illiterate people to sell my product which is not value for money, "
Sucimukham,"I am a thief, i stole valuable things from the house of rich and poor, I also steal money and i steal jewelry as well"
Sucimukham,"I sell my low quality product to people who are not educated, basically fooling them to buy my low quality product with higher price."
Sucimukham,I killed my relative including cousin over a property.
Sucimukham,"I borrowed money from a person i know, and I am not gonna repay the money."
Sucimukham,I borrowed money from my friend and have never repayed the money. And I am not intending to repay.
Sucimukham,"Even having money, I do not spend on necessities of life. I try to save money, as much as I can, doing so leads to not buying necessites of life, and providing for the family"
Ksharakardamam,Braggarts and those who insult good people are cast into this hell.
Ksharakardamam,I brag about my achievments to make other people feel bad.
Ksharakardamam,"Posting your life on social media, and bragging about the life that you have. Showing off yourself. "
Ksharakardamam,"I insult my friend who didn't drink or smoke, and brag about myself that i am super cool, becase i smoke and drink."
Ksharakardamam,"I changed my gender to something else, just show off infront of others that, look how cool i am. I support Lesbian, Gay, Bisexual, Transgender people, even I do not. I pretend to support LGBTQIA+, because everybody thinks i am cool. I basically show off in front of others  to tell them, I am open minded and support gender change.  "
